fight_key,event,event_date,bout,fighter_a,fighter_b,winner,method,winner_is_a,weight_class,scheduled_seconds,duration_seconds,a_prior_bouts,b_prior_bouts,diff_prior_bouts,a_win_rate,b_win_rate,diff_win_rate,a_finish_win_rate,b_finish_win_rate,diff_finish_win_rate,a_ko_win_rate,b_ko_win_rate,diff_ko_win_rate,a_sub_win_rate,b_sub_win_rate,diff_sub_win_rate,a_ko_loss_rate,b_ko_loss_rate,diff_ko_loss_rate,a_sub_loss_rate,b_sub_loss_rate,diff_sub_loss_rate,a_kd_for_per15,b_kd_for_per15,diff_kd_for_per15,a_kd_against_per15,b_kd_against_per15,diff_kd_against_per15,a_sig_landed_per_min,b_sig_landed_per_min,diff_sig_landed_per_min,a_sig_absorbed_per_min,b_sig_absorbed_per_min,diff_sig_absorbed_per_min,a_sig_accuracy,b_sig_accuracy,diff_sig_accuracy,a_sig_defense,b_sig_defense,diff_sig_defense,a_ground_for_per15,b_ground_for_per15,diff_ground_for_per15,a_ground_against_per15,b_ground_against_per15,diff_ground_against_per15,a_td_landed_per15,b_td_landed_per15,diff_td_landed_per15,a_td_attempts_per15,b_td_attempts_per15,diff_td_attempts_per15,a_td_accuracy,b_td_accuracy,diff_td_accuracy,a_td_defense,b_td_defense,diff_td_defense,a_sub_att_per15,b_sub_att_per15,diff_sub_att_per15,a_sub_att_against_per15,b_sub_att_against_per15,diff_sub_att_against_per15,a_ctrl_for_per15,b_ctrl_for_per15,diff_ctrl_for_per15,a_ctrl_against_per15,b_ctrl_against_per15,diff_ctrl_against_per15,a_r3_retention,b_r3_retention,diff_r3_retention,a_recent5_win_rate,b_recent5_win_rate,diff_recent5_win_rate,a_recent5_finish_rate,b_recent5_finish_rate,diff_recent5_finish_rate,a_recent5_sig_diff_per_min,b_recent5_sig_diff_per_min,diff_recent5_sig_diff_per_min,a_recent5_kd_for_per15,b_recent5_kd_for_per15,diff_recent5_kd_for_per15,a_recent5_td_landed_per15,b_recent5_td_landed_per15,diff_recent5_td_landed_per15,a_recent5_sub_att_per15,b_recent5_sub_att_per15,diff_recent5_sub_att_per15,a_days_since_last,b_days_since_last,a_age_years,b_age_years,diff_age_years,a_height_inches,b_height_inches,diff_height_inches,a_reach_inches,b_reach_inches,diff_reach_inches,a_southpaw,b_southpaw,scheduled_five_round,is_heavyweight,is_womens,same_stance
2026-09-19|Giga Chikadze vs. Joanderson Brito,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Giga Chikadze vs. Joanderson Brito,Giga Chikadze,Joanderson Brito,Joanderson Brito,KO,0,Featherweight,900,117.0,12.0,10.0,2.0,0.6666666666666666,0.7,-0.033333333333333326,0.25,0.6,-0.35,0.25,0.3,-0.04999999999999999,0.0,0.3,-0.3,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.5877870904539023,0.17159199237368922,0.4161950980802131,0.19592903015130075,0.0,0.19592903015130075,3.8467399586372046,2.1506196377502382,1.6961203208869664,3.467943833678023,2.3222116301239275,1.1457322035540956,0.42191977077363896,0.4895833333333333,-0.06766356255969436,0.6107038123167156,0.43137254901960786,0.1793312632971077,4.506367693479917,6.177311725452812,-1.670944031972895,2.8409709371938607,6.177311725452812,-3.3363407882589513,0.19592903015130075,3.088655862726406,-2.8927268325751054,0.4898225753782519,4.6329837940896095,-4.143161218711358,0.4,0.6666666666666666,-0.2666666666666666,0.6875,0.5769230769230769,0.11057692307692313,0.19592903015130075,1.3727359389895137,-1.176806908838213,0.09796451507565038,0.6863679694947569,-0.5884034544191065,18.61325786437357,325.5100095328885,-306.8967516685149,107.95689561336671,361.20114394661584,-253.24424833324912,1.256702125760794,1.1884920634920635,0.0682100622687305,0.2,0.6,-0.39999999999999997,0.0,0.4,-0.4,-0.6537371976465461,-0.32815198618307423,-0.3255852114634719,0.0,0.0,0.0,0.0,3.1088082901554404,-3.1088082901554404,0.0,1.5544041450777202,-1.5544041450777202,280.0,105.0,38.06785902516821,31.603660581668343,6.464198443499868,72.0,68.0,4.0,74.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-09-19|Casey O'Neill vs. Eduarda Moura,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Casey O'Neill vs. Eduarda Moura,Casey O'Neill,Eduarda Moura,Casey O'Neill,SUB,1,Women's Flyweight,900,202.0,8.0,5.0,3.0,0.75,0.6,0.15000000000000002,0.5,0.2,0.3,0.375,0.2,0.175,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.17472335468841002,0.0,0.17472335468841002,0.0,0.22310361923648983,-0.22310361923648983,7.885847408270239,2.63262270699058,5.25322470127966,5.532906231799651,2.647496281606346,2.885409950193305,0.5219737856592136,0.3773987206823028,0.1445750649769108,0.5758928571428572,0.5850815850815851,-0.009188727938727936,16.77344205008736,12.716906296479921,4.05653575360744,5.06697728596389,3.3465542885473476,1.7204229974165428,1.3977868375072802,3.5696579077838373,-2.1718710702765573,4.01863715783343,10.708973723351512,-6.690336565518082,0.34782608695652173,0.3333333333333333,0.014492753623188415,0.7,0.8,-0.10000000000000009,0.6988934187536401,0.22310361923648983,0.4757897995171503,0.17472335468841002,0.8924144769459593,-0.7176911222575493,225.3931275480489,373.475458601884,-148.08233105383508,105.35818287711125,88.34903321764997,17.009149659461272,1.3095381894264577,0.8047945205479452,0.5047436688785125,0.6,0.6,0.0,0.2,0.2,0.0,2.3309880697460996,-0.014873574615765987,2.3458616443618654,0.27531355154481496,0.0,0.27531355154481496,0.0,3.5696579077838373,-3.5696579077838373,0.27531355154481496,0.22310361923648983,0.05220993230832513,175.0,224.0,28.95062869189648,32.55645222010035,-3.6058235282038673,66.0,66.0,0.0,69.0,67.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
2026-09-19|Edmen Shahbazyan vs. Brunno Ferreira,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Edmen Shahbazyan vs. Brunno Ferreira,Edmen Shahbazyan,Brunno Ferreira,Edmen Shahbazyan,DEC,1,Middleweight,900,900.0,15.0,10.0,5.0,0.6,0.6,0.0,0.4666666666666667,0.5,-0.033333333333333326,0.4,0.3,0.10000000000000003,0.06666666666666667,0.2,-0.13333333333333336,0.2,0.2,0.0,0.06666666666666667,0.1,-0.03333333333333334,0.8360982083609821,0.6137758581495795,0.22232235021140268,0.0,0.2045919527165265,-0.2045919527165265,3.925680159256802,3.1234371448056377,0.8022430144511641,3.854014598540146,3.696294612411912,0.15771998612823435,0.48619329388560156,0.4831223628691983,0.0030709310164032666,0.5025693730729701,0.5195035460992907,-0.01693417302632061,9.31652289316523,1.8413275744487383,7.475195318716492,15.885865958858659,3.273471243464424,12.612394715394235,1.4333112143331121,1.0229597635826324,0.41035145075047974,3.941605839416059,4.501022959763583,-0.5594171203475242,0.36363636363636365,0.22727272727272727,0.13636363636363638,0.6666666666666667,0.4782608695652174,0.18840579710144933,0.35832780358327804,0.6137758581495795,-0.25544805456630143,1.0749834107498342,0.818367810866106,0.2566155998837282,151.4532183145322,55.649011138895204,95.80420717563699,180.11944260119444,189.65674016822007,-9.537297567025632,0.6211194894468917,0.7988368044889516,-0.1777173150420599,0.6,0.6,0.0,0.4,0.4,0.0,1.3770491803278688,-1.2272220156191893,2.6042711959470584,0.9836065573770492,0.0,0.9836065573770492,0.0,1.3387876534027519,-1.3387876534027519,0.0,0.6693938267013759,-0.6693938267013759,105.0,84.0,28.830160783588983,33.873385490461814,-5.043224706872831,74.0,70.0,4.0,75.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-09-19|Ryan Gandra vs. Ozzy Diaz,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Ryan Gandra vs. Ozzy Diaz,Ryan Gandra,Ozzy Diaz,Ryan Gandra,KO,1,Middleweight,900,124.0,2.0,3.0,-1.0,1.0,0.3333333333333333,0.6666666666666667,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,0.0,15.517241379310345,0.0,15.517241379310345,0.0,1.2720848056537102,-1.2720848056537102,12.413793103448276,6.360424028268551,6.053369075179725,2.586206896551724,7.250883392226148,-4.664676495674424,0.4897959183673469,0.5119453924914675,-0.022149474124120605,0.6153846153846154,0.6290672451193058,-0.013682629734690366,46.55172413793103,0.0,46.55172413793103,0.0,3.1802120141342756,-3.1802120141342756,0.0,0.0,0.0,0.0,1.9081272084805652,-1.9081272084805652,,0.0,,,0.6666666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,38.793103448275865,40.07067137809187,-1.2775679298160085,0.0,19.71731448763251,-19.71731448763251,,,,1.0,0.3333333333333333,0.6666666666666667,1.0,0.0,1.0,9.827586206896552,-0.8904593639575972,10.718045570854148,15.517241379310345,0.0,15.517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,70.0,133.0,31.36820057906733,35.825513186444624,-4.457312607377293,73.0,76.0,-3.0,74.0,79.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-09-19|Michael Aswell Jr. vs. Joosang Yoo,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Michael Aswell Jr. vs. Joosang Yoo,Michael Aswell Jr.,Joosang Yoo,Michael Aswell Jr.,DEC,1,Featherweight,900,900.0,4.0,2.0,2.0,0.25,0.5,-0.25,0.25,0.5,-0.25,0.25,0.5,-0.25,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.6423982869379015,2.5787965616045843,-1.9363982746666828,0.0,2.5787965616045843,-2.5787965616045843,6.723768736616702,6.361031518624642,0.36273721799206005,7.109207708779444,4.98567335243553,2.1235343563439137,0.3949685534591195,0.5873015873015873,-0.1923330338424678,0.521613832853026,0.5606060606060606,-0.03899222775303457,3.5331905781584583,2.5787965616045843,0.954394016553874,0.0,23.20916905444126,-23.20916905444126,0.32119914346895073,0.0,0.32119914346895073,1.284796573875803,0.0,1.284796573875803,0.25,,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.29978586723769,0.0,80.29978586723769,7.0663811563169165,214.04011461318052,-206.9737334568636,0.8373002754820936,,,0.25,0.5,-0.25,0.25,0.5,-0.25,-0.3854389721627409,1.3753581661891117,-1.7607971383518526,0.6423982869379015,2.5787965616045843,-1.9363982746666828,0.32119914346895073,0.0,0.32119914346895073,0.0,0.0,0.0,91.0,350.0,25.0,32.660492686365906,-7.660492686365906,68.0,67.0,1.0,69.0,71.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-19|Tai Tuivasa vs. Robelis Despaigne,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Tai Tuivasa vs. Robelis Despaigne,Tai Tuivasa,Robelis Despaigne,Robelis Despaigne,DEC,0,Heavyweight,900,900.0,18.0,3.0,15.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.3888888888888889,0.3333333333333333,0.05555555555555558,0.3888888888888889,0.3333333333333333,0.05555555555555558,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.8237986270022883,0.49504950495049505,0.3287491220517933,0.6178489702517163,0.0,0.6178489702517163,3.3707093821510297,2.112211221122112,1.2584981610289177,4.606407322654462,2.541254125412541,2.065153197241921,0.4861386138613861,0.5981308411214953,-0.11199222726010916,0.42942176870748294,0.4652777777777778,-0.03585600907029485,2.471395881006865,0.9900990099009901,1.481296871105875,11.842105263157894,21.287128712871286,-9.445023449713393,0.0,0.0,0.0,0.30892448512585813,0.0,0.30892448512585813,0.0,,,0.5869565217391304,0.5,0.08695652173913038,0.0,0.0,0.0,0.30892448512585813,0.49504950495049505,-0.18612501982463692,111.93363844393592,10.396039603960395,101.53759883997553,220.675057208238,557.9207920792079,-337.2457348709699,0.9531167484890566,1.7430769230769234,-0.7899601745878668,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,-2.519148936170213,-0.4290429042904291,-2.0901060318797837,0.0,0.49504950495049505,-0.49504950495049505,0.0,0.0,0.0,0.0,0.0,0.0,140.0,700.0,33.51198176553933,38.026790420063385,-4.514808654524053,74.0,79.0,-5.0,75.0,84.0,-9.0,1.0,0.0,0.0,1.0,0.0,0.0
2026-09-19|Marlon Vera vs. Charles Jourdain,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Marlon Vera vs. Charles Jourdain,Marlon Vera,Charles Jourdain,Marlon Vera,KO,1,Bantamweight,900,722.0,26.0,16.0,10.0,0.5769230769230769,0.5625,0.014423076923076872,0.4230769230769231,0.375,0.04807692307692307,0.2692307692307692,0.125,0.14423076923076922,0.15384615384615385,0.25,-0.09615384615384615,0.0,0.0625,-0.0625,0.0,0.0625,-0.0625,0.5513406531266198,0.5804846586197364,-0.029144005493116576,0.04241081947127845,0.2487791394084585,-0.20636831993718005,4.184534187832806,5.556067446788907,-1.3715332589561005,5.343763253381084,4.196074818022667,1.1476884353584174,0.4758842443729904,0.4972785749628897,-0.021394330589899313,0.5010559662090813,0.5637931034482759,-0.06273713723919461,6.4040337401630465,5.721920206394545,0.6821135337685016,7.167428490646058,2.487791394084585,4.679637096561473,0.466519014184063,0.41463189901409747,0.051887115169965525,1.1875029451957966,1.9073067354648485,-0.719803790269052,0.39285714285714285,0.21739130434782608,0.17546583850931677,0.7173913043478262,0.4067796610169492,0.310611643330877,0.7633947504830121,0.41463189901409747,0.3487628514689146,0.0,0.41463189901409747,-0.41463189901409747,77.99349700768107,98.93117110476365,-20.937674097082578,166.5048772442392,173.81369206670965,-7.3088148224704526,1.9704020798709747,1.8054127268861313,0.1649893529848434,0.2,0.6,-0.39999999999999997,0.0,0.4,-0.4,-1.8823529411764706,0.45674740484429066,-2.339100346020761,0.1764705882352941,0.31141868512110726,-0.13494809688581316,0.0,1.245674740484429,-1.245674740484429,0.0,0.9342560553633219,-0.9342560553633219,203.0,154.0,33.79672409426614,30.812405456648666,2.9843186376174735,68.0,69.0,-1.0,70.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-09-19|Alonzo Menifield vs. Iwo Baraniewski,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Alonzo Menifield vs. Iwo Baraniewski,Alonzo Menifield,Iwo Baraniewski,Alonzo Menifield,DEC,1,Light Heavyweight,900,900.0,17.0,3.0,14.0,0.6470588235294118,1.0,-0.3529411764705882,0.4117647058823529,1.0,-0.5882352941176471,0.29411764705882354,1.0,-0.7058823529411764,0.11764705882352941,0.0,0.11764705882352941,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.0,0.5563798219584569,17.821782178217823,-17.265402356259365,0.5563798219584569,4.455445544554456,-3.899065722595999,3.8353115727002964,11.287128712871286,-7.45181714017099,4.102373887240356,8.91089108910891,-4.808517201868554,0.5227502527805864,0.5671641791044776,-0.044413926323891184,0.5119152691968226,0.5384615384615384,-0.026546269264715816,5.3412462908011875,89.10891089108911,-83.76766460028793,1.3353115727002969,0.0,1.3353115727002969,0.5563798219584569,0.0,0.5563798219584569,1.5578635014836795,8.910891089108912,-7.353027587625232,0.35714285714285715,0.0,0.35714285714285715,0.8837209302325582,1.0,-0.11627906976744184,0.22255192878338279,0.0,0.22255192878338279,0.0,0.0,0.0,206.973293768546,142.5742574257426,64.39903634280341,130.19287833827894,26.73267326732673,103.46020507095221,1.229979797979798,,,0.6,1.0,-0.4,0.2,1.0,-0.8,-0.75,2.376237623762376,-3.126237623762376,0.6818181818181818,17.821782178217823,-17.13996399639964,0.0,0.0,0.0,0.0,0.0,0.0,112.0,105.0,38.922086011348625,27.83082472603818,11.091261285310445,72.0,72.0,0.0,76.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-09-19|Gable Steveson vs. Sean Sharaf,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Gable Steveson vs. Sean Sharaf,Gable Steveson,Sean Sharaf,Sean Sharaf,KO,0,Heavyweight,900,12.0,1.0,2.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,5.960264900662252,0.0,5.960264900662252,0.0,0.0,0.0,16.29139072847682,7.406639004149378,8.884751724327442,5.1655629139072845,15.0,-9.834437086092716,0.7192982456140351,0.43911439114391143,0.28018385447012367,0.6060606060606061,0.42619047619047623,0.17987012987012985,5.960264900662252,7.468879668049793,-1.5086147673875407,0.0,0.0,0.0,0.0,0.9336099585062241,-0.9336099585062241,5.960264900662252,8.402489626556017,-2.442224725893765,0.0,0.1111111111111111,-0.1111111111111111,,,,0.0,0.0,0.0,0.0,0.0,0.0,59.60264900662252,42.946058091286304,16.656590915336217,0.0,4.66804979253112,-4.66804979253112,,,,1.0,0.0,1.0,1.0,0.0,1.0,11.125827814569536,-7.593360995850622,18.719188810420157,5.960264900662252,0.0,5.960264900662252,0.0,0.9336099585062241,-0.9336099585062241,0.0,0.0,0.0,70.0,280.0,26.303072616138593,33.191646645721676,-6.888574029583083,71.0,75.0,-4.0,74.0,77.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-09-19|Patricio Pitbull vs. Dooho Choi,UFC 331: Van vs. Pantoja 2,2026-09-19T00:00:00+00:00,Patricio Pitbull vs. Dooho Choi,Patricio Pitbull,Dooho Choi,Patricio Pitbull,KO,1,Featherweight,900,208.0,3.0,9.0,-6.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,0.0,0.0,0.2222222222222222,-0.2222222222222222,0.0,0.0,0.0,0.0,1.1005135730007336,-1.1005135730007336,0.3333333333333333,0.6603081438004402,-0.3269748104671069,2.6888888888888887,5.37050623624358,-2.6816173473546914,4.822222222222222,5.1063829787234045,-0.28416075650118255,0.5148936170212766,0.5462686567164179,-0.03137503969514133,0.4918032786885246,0.5639097744360902,-0.07210649574756567,1.3333333333333333,7.043286867204696,-5.709953533871363,11.666666666666666,4.402054292002934,7.264612374663732,2.0,1.540719002201027,0.4592809977989729,4.333333333333334,2.8613352898019078,1.4719980435314262,0.46153846153846156,0.5384615384615384,-0.07692307692307687,0.5,0.6470588235294117,-0.1470588235294117,0.3333333333333333,0.6603081438004402,-0.3269748104671069,0.0,0.0,0.0,75.66666666666667,152.09097578870137,-76.4243091220347,105.33333333333333,128.980190755686,-23.64685742235268,1.0357142857142858,0.6822843674353422,0.35342991827894366,0.3333333333333333,0.6,-0.26666666666666666,0.0,0.6,-0.6,-2.1333333333333333,0.6172839506172839,-2.7506172839506173,0.0,0.6172839506172839,-0.6172839506172839,2.0,1.851851851851852,0.14814814814814792,0.3333333333333333,0.925925925925926,-0.5925925925925928,161.0,126.0,39.20409043306844,35.444944112473216,3.759146320595221,66.0,70.0,-4.0,67.0,70.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0
